anio_inscripcion,matricula,sexo,nacionalidad,lugar_nacimiento,fecha_nacimiento,tipo_ingreso,colonia,escuela_procedencia,ubicacion_escuela_procedencia,nivel,carrera,turno,ciclo
2022,UVA20229069,F,Mexicana,Mérida,2005-12-10,Repetidor,Chuburná,Cbtis 95,Tizimín,Ingeniería,Lic. en Fisioterapia,Vespertino,Agosto-Diciembre
2022,UVA20225040,NA,Mexicana,NA,2002-01-29,Repetidor,Itzimná,Cbtis 95,Tizimín,Licenciatura,Lic. en Nutrición,Vespertino,Enero-Junio
2022,UVA20229066,NA,NA,Mérida,2005-09-09,Reinscrito,Francisco De Montejo,NA,Kanasín,Licenciatura,Lic. en Educación,Matutino,2023-A
2022,UVA20229511,M,Mexicana,Valladolid,2003-09-03,Equivalencia,Chuburná,NA,NA,Ingeniería,Lic. en Nutrición,Matutino,Agosto-Diciembre
2022,UVA20221642,F,Mexicana,Tizimín,1999-11-05,Repetidor,Centro,Preparatoria Estatal No. 1,"Mérida, Yucatán",Ingeniería,Ing. Civil,Matutino,Agosto-Diciembre
2022,UVA20228610,NA,Mexicana,Tizimín,2004-08-02,Nuevo,Centro,Prepa Abierta,Umán,Ingeniería,Lic. en Contabilidad,Vespertino,Enero-Junio
2022,UVA20223131,NA,Mexicana,Valladolid,2001-03-22,Equivalencia,Centro,NA,NA,Ingeniería,Ing. en Procesos De Manufactura,Vespertino,2023-A
2022,UVA20225531,M,Mexicana,Tizimín,1998-10-26,Repetidor,Chuburná,Prepa Abierta,Kanasín,Licenciatura,Lic. en Nutrición,Matutino,Agosto-Diciembre
2022,UVA20224072,NA,Mexicana,Valladolid,1997-07-23,Repetidor,Itzimná,Conalep Mérida,Umán,Ingeniería,Ing. en Procesos De Manufactura,Vespertino,2023-A
2022,UVA20224384,M,NA,Cancún,2003-04-12,Reinscrito,Centro,NA,Kanasín,Licenciatura,Lic. en Educación,Matutino,2023-A
2022,UVA20224053,F,NA,Cancún,1999-06-24,Repetidor,Itzimná,Preparatoria Estatal No. 1,Tizimín,Ingeniería,Lic. en Diseño De Modas,Matutino,2023-A
2022,UVA20227614,M,Mexicana,Cancún,1999-06-18,Reinscrito,Itzimná,NA,Kanasín,Licenciatura,Lic. en Diseño De Modas,Matutino,Agosto-Diciembre
2022,UVA20225807,M,NA,Tizimín,2002-04-15,Reinscrito,Centro,NA,Tizimín,Licenciatura,Lic. en Contabilidad,Vespertino,2024-B
