anio,matricula,edad,sexo,carrera,modalidad,tipo_ciclo,ciclo,periodo
2024,272024001,19,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,9
2024,272024002,19,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,2
2024,272024003,20,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,8
2024,272024004,20,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,2
2024,272024005,20,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Mayo-Agosto,4
2024,272024006,21,Maculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,3
2024,272024007,21,Maculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,7
2024,272024008,21,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Mayo-Agosto,2
2024,272024009,22,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,9
2024,272024010,22,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,6
2024,272024011,22,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,6
2024,272024012,23,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,7
2024,272024013,23,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,1
2024,272024014,23,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,2
2024,272024015,24,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,5
2024,272024016,24,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,7
2024,272024017,25,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,8
2024,272024018,25,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,2
2024,272024019,25,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,6
2024,272024020,26,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Mayo-Agosto,4
2024,272024021,26,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,2
2024,272024022,27,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,9
2024,272024023,28,Masculino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,8
2024,272024024,29,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,4
2024,272024025,29,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Enero-Abril,4
2024,272024026,29,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,4
2024,272024027,30,Femenino,Administración de Empresas,Mixto/Sabatino,Cuatrimestral,Septiembre-Diciembre,2
2024,142024001,17,Femenino,Administración de Empresas,Escolarizada,Cuatrimestral,Enero-Abril,6
2024,142024002,19,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Enero-Abril,4
2024,142024003,19,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Mayo-Agosto,2
2024,142024004,19,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Enero-Abril,5
2024,142024005,19,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Mayo-Agosto,9
2024,142024006,19,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Enero-Abril,6
2024,142024007,19,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Septiembre-Diciembre,8
2024,142024008,19,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Enero-Abril,5
2024,142024009,19,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Enero-Abril,6
2024,142024010,19,Femenino,Administración de Empresas,Escolarizada,Cuatrimestral,Enero-Abril,7
2024,142024011,19,Femenino,Administración de Empresas,Escolarizada,Cuatrimestral,Mayo-Agosto,7
2024,142024012,19,Femenino,Administración de Empresas,Escolarizada,Cuatrimestral,Mayo-Agosto,7
2024,142024013,19,Femenino,Administración de Empresas,Escolarizada,Cuatrimestral,Septiembre-Diciembre,1
2024,142024014,19,Femenino,Administración de Empresas,Escolarizada,Cuatrimestral,Septiembre-Diciembre,6
2024,142024015,19,Femenino,Administración de Empresas,Escolarizada,Cuatrimestral,Mayo-Agosto,8
2024,142024016,20,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Enero-Abril,2
2024,142024017,20,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Septiembre-Diciembre,6
2024,142024018,20,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Mayo-Agosto,8
2024,142024019,20,Masculino,Administración de Empresas,Escolarizada,Cuatrimestral,Mayo-Agosto,3
