nombre_original,nombre_google,direccion,municipio,estado,lat,lng,place_id
BACHILLERATO COMUNITARIO SAMAHIL,TBCEY Samahil (Telebachillerato Comunitario de Samahil),"97810 Samahil, Yuc., Mexico",,Yucatán,20.8835375,-89.889178,ChIJa8otYq4bVo8RQp--dvomqzU
COBAY BUCTOZTZ,Colegio de Bachilleres de Buctzotz,"Calle 4, 21 Y 25, C. 4 SN, Centro, 97620 Buctzotz, Yucatán, Mexico",,Yucatán,21.2003372,-88.7837562,ChIJk81NC1wHVI8RnwnBh8g0uT0
COBAY TIXKOKOB,COBAY Plantel Tixkokob,"97470 Tixkokob, Yucatan, Mexico",,Yucatán,20.9979574,-89.4039658,ChIJzUqMWwd-Vo8RBQPeScGAqTs
CBTIS 126 CAMPECHE,CBTIS 126,"24902, Calle 22-A 4100, Fátima, 24902 Calkiní, Camp., Mexico",,Yucatán,20.3844254,-90.0546559,ChIJZ-2eSh-B-IURS4Q8ENceom8
COBAY CHENKU,COBAY Chenkú,"Calle 32, Por Calle 25 y 27 SN, Residencial del Nte, 97219 Mérida, Yuc., Mexico",,Yucatán,21.0075773,-89.64999329999999,ChIJT_wNmXF0Vo8Rp9ajD_EtYJs
COBAY HOMUN,Cobay Plantel Homún,"97580 Homún, Yucatan, Mexico",,Yucatán,20.7385673,-89.297333,ChIJN2kAsHONVo8RTOVDda4qQmI
COBAY SOTUTA,Cobay Sotuta,"Calle 20 x 11 carretera a Tibolón, 40 X 11, 97690 Sotuta, Yucatán, Mexico",,Yucatán,20.6053901,-89.0037789,ChIJwQ8a1BvEVo8R7h8t5tln31k
COBAY TZUCACAB,COBAY Plantel Tzucacab,"C. 30, 97960 Tzucacab, Yuc., Mexico",,Yucatán,20.0847611,-89.0479687,ChIJPR39yzA9V48RD60-3zoJ-jA
CBTA 13 XMATKUIL,CBTA No. 13 Xmatkuil,"Ex-Hacienda Xmatkuil A.P. 970 Xmatkuil, 97139 Mérida, Yuc., Mexico",,Yucatán,20.8590646,-89.62328169999999,ChIJNV2YGX9uVo8RXaismVkkq9U
COBAY YAXCABA,Cobay Yaxcabá,"C. 22, 97920 Yaxcabá, Yuc., Mexico",,Yucatán,20.558921,-88.8252904,ChIJT7hiSQfNVo8RZl3qJck8svg
COBAY ABALA,COBAY plantel Abala,"Unnamed Road, 97825 Abalá, Yuc., Mexico",,Yucatán,20.6448555,-89.675281,ChIJu5TRF-lAVo8RnmjCRzvQP0A
COLEGIO BENITO JUAREZ GARCIA,Escuela Primaria Indigena Benito Juarez Garcia Tizimin.,"C. 78, Sta Rita, 97700 Tizimín, Yuc., Mexico",,Yucatán,21.1571818,-88.16657810000001,ChIJX0z8kkorUo8RNzHkrnxKFNU
